Time resolution;Experience;Variable;Model;Availability
monthly;historical;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;historical;surface_downwelling_shortwave_radiation;cesm2_waccm;Yes
monthly;historical;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;historical;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;historical;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;historical;toa_incident_shortwave_radiation;cesm2;Yes
monthly;historical;toa_incident_shortwave_radiation;cesm2_waccm;Yes
monthly;historical;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;historical;toa_incident_shortwave_radiation;mri_esm2_0;Yes
monthly;historical;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;historical;total_cloud_cover_percentage;cesm2;Yes
monthly;historical;total_cloud_cover_percentage;cesm2_waccm;Yes
monthly;historical;total_cloud_cover_percentage;cnrm_cm6_1_hr;Yes
monthly;historical;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;historical;total_cloud_cover_percentage;ukesm1_0_ll;Yes
#monthly;ssp4_3_4;surface_downwelling_shortwave_radiation;ec_earth3_cc;Yes
monthly;ssp4_3_4;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp4_3_4;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp4_3_4;toa_incident_shortwave_radiation;ec_earth3_cc;Yes
monthly;ssp4_3_4;toa_incident_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp4_3_4;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;ec_earth3_cc;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;ukesm1_0_ll;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;ec_earth3_cc;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;cesm2;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;cesm2;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;ukesm1_0_ll;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cesm2_waccm;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cesm2;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cesm2_waccm;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;mri_esm2_0;Yes
