time,daylight_seconds
1980-01-01,51120
1980-01-02,51120
1980-01-03,51060
1980-01-04,51000
1980-01-05,50940
1980-01-06,50940
1980-01-07,50940
1980-01-08,50880
1980-01-09,50820
1980-01-10,50760
1980-01-11,50640
1980-01-12,50580
1980-01-13,50580
1980-01-14,50520
1980-01-15,50460
1980-01-16,50400
1980-01-17,50280
1980-01-18,50220
1980-01-19,50160
1980-01-20,50100
1980-01-21,49980
1980-01-22,49920
1980-01-23,49800
1980-01-24,49740
1980-01-25,49620
1980-01-26,49560
1980-01-27,49440
1980-01-28,49380
1980-01-29,49260
1980-01-30,49260
1980-01-31,49140
1980-02-01,49020
1980-02-02,48960
1980-02-03,48840
1980-02-04,48720
1980-02-05,48600
1980-02-06,48540
1980-02-07,48420
1980-02-08,48300
1980-02-09,48180
1980-02-10,48060
1980-02-11,47940
1980-02-12,47820
1980-02-13,47700
1980-02-14,47700
1980-02-15,47580
1980-02-16,47460
1980-02-17,47340
1980-02-18,47220
1980-02-19,47040
1980-02-20,46920
1980-02-21,46800
1980-02-22,46740
1980-02-23,46620
1980-02-24,46500
1980-02-25,46380
1980-02-26,46260
1980-02-27,46140
1980-02-28,46020
1980-02-29,45900
1980-03-01,45780
1980-03-02,45660
1980-03-03,45540
1980-03-04,45420
1980-03-05,45300
1980-03-06,45180
1980-03-07,45060
1980-03-08,44940
1980-03-09,44820
1980-03-10,44700
1980-03-11,44580
1980-03-12,44460
1980-03-13,44340
1980-03-14,44220
1980-03-15,44100
1980-03-16,43980
1980-03-17,43860
1980-03-18,43740
1980-03-19,43560
1980-03-20,43500
1980-03-21,43380
1980-03-22,43200
1980-03-23,43140
1980-03-24,43020
1980-03-25,42900
1980-03-26,42780
1980-03-27,42660
1980-03-28,42540
1980-03-29,42360
1980-03-30,42300
1980-03-31,42180
1980-04-01,42000
1980-04-02,41940
1980-04-03,41820
1980-04-04,41700
1980-04-05,41580
1980-04-06,41460
1980-04-07,41340
1980-04-08,41280
1980-04-09,41100
1980-04-10,40980
1980-04-11,40920
1980-04-12,40800
1980-04-13,40680
1980-04-14,40500
1980-04-15,40440
1980-04-16,40320
1980-04-17,40200
1980-04-18,40140
1980-04-19,40020
1980-04-20,39840
1980-04-21,39780
1980-04-22,39660
1980-04-23,39540
1980-04-24,39420
1980-04-25,39360
1980-04-26,39240
1980-04-27,39120
1980-04-28,39060
1980-04-29,38940
1980-04-30,38820
1980-05-01,38700
1980-05-02,38640
1980-05-03,38520
1980-05-04,38400
1980-05-05,38400
1980-05-06,38280
1980-05-07,38160
1980-05-08,38040
1980-05-09,37980
1980-05-10,37860
1980-05-11,37800
1980-05-12,37740
1980-05-13,37620
1980-05-14,37560
1980-05-15,37500
1980-05-16,37380
1980-05-17,37320
1980-05-18,37260
1980-05-19,37140
1980-05-20,37080
1980-05-21,37020
1980-05-22,36960
1980-05-23,36840
1980-05-24,36840
1980-05-25,36780
1980-05-26,36660
1980-05-27,36660
1980-05-28,36540
1980-05-29,36480
1980-05-30,36480
1980-05-31,36360
1980-06-01,36360
1980-06-02,36300
1980-06-03,36300
1980-06-04,36240
1980-06-05,36180
1980-06-06,36120
1980-06-07,36120
1980-06-08,36060
1980-06-09,36060
1980-06-10,36000
1980-06-11,36000
1980-06-12,35940
1980-06-13,35940
1980-06-14,35940
1980-06-15,35880
1980-06-16,35880
1980-06-17,35880
1980-06-18,35880
1980-06-19,35880
1980-06-20,35880
1980-06-21,35880
1980-06-22,35820
1980-06-23,35880
1980-06-24,35880
1980-06-25,35880
1980-06-26,35940
1980-06-27,35940
1980-06-28,35940
1980-06-29,36000
1980-06-30,36000
1980-07-01,36000
