variants 	diff_of_means 	ratio_of_sd 	amplitude_ratio_of_means 	maximum_error 	sign_error 	qqplot_mae 	acf_mae 	extremogram_mae
xgboost.cesm2.ssp370 	0.70  	0.899 	0.614 	0.282 	0.110 	0.106 	0.131 	0.049
nv.cesm2.ssp370 	0.72  	0.909 	0.641 	0.174 	0.092 	0.115 	0.118 	0.044
xgboost.cesm2.ssp245 	1.45  	0.911 	0.615 	0.281 	0.109 	0.097 	0.142 	0.085
xgboost.cesm2.ssp585 	1.55  	0.888 	0.611 	0.274 	0.107 	0.111 	0.124 	0.077
nv.cesm2.ssp245 	1.57  	0.914 	0.641 	0.173 	0.094 	0.103 	0.126 	0.065
nv.cesm2.ssp585 	1.69  	0.897 	0.643 	0.163 	0.091 	0.118 	0.111 	0.066
cnn.mri_esm2_0.ssp370 	-1.92  	0.899 	0.768 	0.361 	0.107 	0.217 	0.420 	0.139
cnn.cesm2.ssp245 	-2.12  	0.892 	0.763 	0.383 	0.108 	0.203 	0.421 	0.173
cnn.mri_esm2_0.ssp245 	-2.14  	0.903 	0.763 	0.371 	0.108 	0.223 	0.424 	0.134
cnn.ec_earth3.ssp434 	-2.15  	0.897 	0.753 	0.367 	0.106 	0.224 	0.429 	0.168
lstm.mri_esm2_0.ssp370 	-2.20  	0.833 	0.527 	0.420 	0.107 	0.256 	0.509 	0.161
lstm.cesm2.ssp370 	-2.25  	0.849 	0.500 	0.418 	0.101 	0.216 	0.524 	0.232
lstm.ec_earth3.ssp434 	-2.27  	0.831 	0.517 	0.431 	0.111 	0.262 	0.512 	0.254
lstm.cesm2.ssp245 	-2.28  	0.843 	0.501 	0.413 	0.104 	0.222 	0.521 	0.254
cnn.mri_esm2_0.ssp434 	-2.33  	0.899 	0.763 	0.379 	0.111 	0.229 	0.426 	0.138
lstm.cesm2.ssp585 	-2.51  	0.837 	0.508 	0.403 	0.099 	0.233 	0.516 	0.184
lstm.mri_esm2_0.ssp245 	-2.63  	0.839 	0.530 	0.433 	0.104 	0.269 	0.509 	0.180
cnn.cesm2.ssp370 	-2.67  	0.906 	0.764 	0.371 	0.106 	0.212 	0.424 	0.158
cnn.cesm2.ssp585 	-2.75  	0.897 	0.777 	0.385 	0.109 	0.221 	0.413 	0.146
lstm.mri_esm2_0.ssp434 	-2.83  	0.837 	0.521 	0.447 	0.109 	0.274 	0.514 	0.205
xgboost.ec_earth3.ssp434 	-4.24  	0.970 	0.639 	0.300 	0.113 	0.170 	0.133 	0.145
nv.ec_earth3.ssp434 	-4.51  	0.990 	0.665 	0.135 	0.089 	0.178 	0.128 	0.131
xgboost.mri_esm2_0.ssp434 	35.19  	0.540 	0.416 	0.199 	0.085 	1.391 	0.108 	0.026
xgboost.mri_esm2_0.ssp245 	35.33  	0.543 	0.416 	0.200 	0.086 	1.397 	0.111 	0.043
xgboost.mri_esm2_0.ssp370 	36.01  	0.525 	0.411 	0.187 	0.084 	1.424 	0.097 	0.036
nv.mri_esm2_0.ssp434 	36.37  	0.607 	0.525 	0.227 	0.106 	1.438 	0.084 	0.027
nv.mri_esm2_0.ssp245 	36.48  	0.610 	0.522 	0.239 	0.107 	1.442 	0.084 	0.026
nv.mri_esm2_0.ssp370 	37.29  	0.599 	0.526 	0.213 	0.105 	1.474 	0.067 	0.019
