variantes diff_of_means 	ratio_of_sd 	amplitude_ratio_of_means 	maximum_error 	sign_error 	qqplot_mae 	acf_mae 	extremogram_mae
lstm.cesm2.ssp370 	0.12 	0.781 	0.924 	0.264 	0.132 	1.264 	0.186 	0.072
lstm.mri_esm2_0.ssp434 	0.12 	0.795 	0.950 	0.265 	0.128 	1.178 	0.154 	0.069
nv.mri_esm2_0.ssp370 	-0.13 	1.109 	0.961 	0.114 	0.048 	0.631 	0.068 	0.034
lstm.cesm2.ssp585 	0.14 	0.779 	0.933 	0.283 	0.132 	1.301 	0.203 	0.078
lstm.cesm2.ssp245 	0.14 	0.784 	0.927 	0.264 	0.133 	1.286 	0.181 	0.081
lstm.mri_esm2_0.ssp370 	0.15 	0.792 	0.957 	0.285 	0.128 	1.225 	0.176 	0.065
lstm.mri_esm2_0.ssp245 	0.15 	0.797 	0.952 	0.284 	0.128 	1.220 	0.163 	0.072
xgboost.mri_esm2_0.ssp370 	-0.16 	1.050 	0.842 	0.380 	0.069 	0.519 	0.106 	0.028
nv.mri_esm2_0.ssp434 	-0.17 	1.155 	0.963 	0.108 	0.047 	0.878 	0.085 	0.053
lstm.ec_earth3.ssp434 	0.18 	0.778 	0.932 	0.284 	0.133 	1.417 	0.192 	0.092
cnn.mri_esm2_0.ssp434 	0.18 	1.056 	1.132 	0.451 	0.222 	1.181 	0.273 	0.101
cnn.cesm2.ssp370 	0.18 	1.047 	1.109 	0.434 	0.215 	1.012 	0.274 	0.122
xgboost.mri_esm2_0.ssp434 	-0.19 	1.088 	0.855 	0.381 	0.069 	0.689 	0.115 	0.025
cnn.mri_esm2_0.ssp245 	0.20 	1.075 	1.139 	0.459 	0.222 	1.278 	0.270 	0.120
cnn.mri_esm2_0.ssp370 	0.20 	1.064 	1.142 	0.464 	0.222 	1.210 	0.279 	0.116
cnn.ec_earth3.ssp434 	0.20 	1.072 	1.126 	0.458 	0.217 	1.415 	0.260 	0.145
cnn.cesm2.ssp245 	0.21 	1.042 	1.105 	0.430 	0.216 	1.095 	0.268 	0.108
cnn.cesm2.ssp585 	0.22 	1.042 	1.124 	0.436 	0.214 	1.077 	0.289 	0.125
nv.ec_earth3.ssp434 	-0.27 	1.019 	0.946 	0.163 	0.048 	0.775 	0.065 	0.021
xgboost.ec_earth3.ssp434 	-0.28 	0.960 	0.726 	0.342 	0.072 	0.842 	0.136 	0.031
nv.mri_esm2_0.ssp245 	-0.32 	1.153 	0.962 	0.112 	0.048 	1.031 	0.086 	0.100
xgboost.mri_esm2_0.ssp245 	-0.33 	1.081 	0.873 	0.381 	0.068 	0.962 	0.108 	0.025
nv.cesm2.ssp585 	-0.44 	0.995 	0.958 	0.111 	0.048 	1.294 	0.031 	0.016
xgboost.cesm2.ssp585 	-0.47 	0.940 	0.808 	0.365 	0.068 	1.381 	0.082 	0.018
nv.cesm2.ssp245 	-0.51 	0.997 	0.956 	0.126 	0.048 	1.482 	0.034 	0.041
xgboost.cesm2.ssp245 	-0.52 	0.939 	0.813 	0.375 	0.070 	1.534 	0.081 	0.025
nv.cesm2.ssp370 	-0.57 	0.967 	0.959 	0.127 	0.047 	1.651 	0.019 	0.017
xgboost.cesm2.ssp370 	-0.59 	0.911 	0.805 	0.363 	0.068 	1.734 	0.072 	0.024
