variants 	diff_of_means 	ratio_of_sd 	amplitude_ratio_of_means 	maximum_error 	sign_error 	qqplot_mae 	acf_mae 	extremogram_mae
nv.cesm2.ssp370 	2.77  	0.913 	0.663 	0.316 	0.126 	0.039 	0.121 	0.117
xgboost.cesm2.ssp370 	3.23  	0.897 	0.595 	0.366 	0.101 	0.027 	0.118 	0.096
nv.cesm2.ssp585 	3.45  	0.919 	0.665 	0.315 	0.125 	0.036 	0.127 	0.124
xgboost.cesm2.ssp585 	4.30  	0.914 	0.600 	0.376 	0.102 	0.024 	0.110 	0.103
xgboost.cesm2.ssp245 	6.55  	0.869 	0.600 	0.357 	0.101 	0.026 	0.109 	0.092
nv.cesm2.ssp245 	6.78  	0.850 	0.654 	0.302 	0.125 	0.040 	0.130 	0.109
cnn.cesm2.ssp585 	-13.89  	1.044 	1.217 	0.343 	0.131 	0.214 	0.414 	0.102
nv.mri_esm2_0.ssp370 	14.44  	0.808 	0.633 	0.275 	0.124 	0.041 	0.132 	0.106
cnn.mri_esm2_0.ssp370 	-14.89  	1.036 	1.142 	0.339 	0.132 	0.205 	0.443 	0.106
xgboost.mri_esm2_0.ssp370 	15.88  	0.802 	0.561 	0.363 	0.110 	0.029 	0.099 	0.089
cnn.mri_esm2_0.ssp245 	-16.89  	1.046 	1.115 	0.354 	0.135 	0.207 	0.444 	0.153
cnn.mri_esm2_0.ssp434 	-17.87  	1.047 	1.157 	0.344 	0.138 	0.210 	0.445 	0.125
nv.ec_earth3.ssp434 	-18.17  	0.902 	0.695 	0.295 	0.121 	0.062 	0.161 	0.103
xgboost.ec_earth3.ssp434 	-19.53  	0.949 	0.670 	0.373 	0.098 	0.045 	0.145 	0.088
cnn.ec_earth3.ssp434 	-19.77  	1.039 	1.108 	0.354 	0.132 	0.212 	0.484 	0.121
cnn.cesm2.ssp370 	-22.27  	1.048 	1.217 	0.336 	0.130 	0.216 	0.415 	0.101
cnn.cesm2.ssp245 	-22.60  	1.049 	1.199 	0.323 	0.127 	0.216 	0.433 	0.130
nv.mri_esm2_0.ssp434 	26.46  	0.753 	0.590 	0.276 	0.129 	0.047 	0.128 	0.135
xgboost.mri_esm2_0.ssp434 	26.77  	0.745 	0.507 	0.370 	0.114 	0.041 	0.101 	0.120
xgboost.mri_esm2_0.ssp245 	28.28  	0.714 	0.494 	0.371 	0.114 	0.043 	0.120 	0.136
nv.mri_esm2_0.ssp245 	28.30  	0.728 	0.577 	0.281 	0.130 	0.048 	0.144 	0.161
lstm.mri_esm2_0.ssp370 	-78.60  	0.761 	0.714 	0.250 	0.133 	0.158 	0.513 	0.107
lstm.cesm2.ssp585 	-80.87  	0.721 	0.685 	0.273 	0.135 	0.167 	0.508 	0.106
lstm.ec_earth3.ssp434 	-81.03  	0.746 	0.683 	0.255 	0.143 	0.163 	0.533 	0.105
lstm.mri_esm2_0.ssp245 	-81.36  	0.761 	0.712 	0.265 	0.133 	0.162 	0.514 	0.126
lstm.mri_esm2_0.ssp434 	-81.85  	0.755 	0.709 	0.253 	0.131 	0.163 	0.515 	0.117
lstm.cesm2.ssp370 	-82.40  	0.729 	0.689 	0.270 	0.135 	0.167 	0.511 	0.093
lstm.cesm2.ssp245 	-85.06  	0.753 	0.700 	0.268 	0.131 	0.167 	0.509 	0.115
